,Sales,Releases,Age,X360,Wii,XOne,WiiU,PS3,NS,PS4
Phantom EFX  ,0.19,1,9.0,1,0,0,0,0,0,0
Mentor Interactive  ,0.04,1,7.0,0,1,0,0,0,0,0
DreamCatcher Interactive  ,1.28,6,17.0,1,1,0,0,0,0,0
Activision Value  ,0.0,0,17.0,0,0,0,0,0,0,0
KID  ,0.0,0,20.0,0,0,0,0,0,0,0
Fields  ,0.06,1,6.0,0,0,0,0,1,0,0
Asylum Entertainment  ,0.33999999999999997,1,8.0,0,1,0,0,0,0,0
Neko Entertainment  ,0.03,1,8.0,0,1,0,0,0,0,0
Working Designs  ,0.0,0,22.0,0,0,0,0,0,0,0
Rebellion Developments  ,2.2799999999999994,5,3.0,0,0,1,0,0,0,1
Data East  ,0.0,0,23.0,0,0,0,0,0,0,0
Gainax Network Systems  ,0.0,0,20.0,0,0,0,0,0,0,0
Playmates  ,0.0,0,22.0,0,0,0,0,0,0,0
Sierra Entertainment  ,6.2,14,22.0,1,1,0,0,1,0,0
Pow  ,0.0,0,23.0,0,0,0,0,0,0,0
Gamecock  ,0.94,4,10.0,1,0,0,0,1,0,0
AQ Interactive  ,0.4,1,11.0,1,0,0,0,0,0,0
Mastiff  ,4.7700000000000005,10,14.0,0,1,0,0,1,1,0
Mad Catz  ,0.73,2,14.0,1,0,0,0,0,0,0
Enix  ,0.0,0,28.0,0,0,0,0,0,0,0
Xseed Games  ,10.38,31,12.0,1,1,0,0,1,1,1
Red Storm Entertainment  ,0.0,0,19.0,0,0,0,0,0,0,0
Takara Tomy   ,1.8600000000000003,9,11.0,0,1,0,0,0,0,0
TOHO  ,0.0,0,25.0,0,0,0,0,0,0,0
Imagineer  ,0.0,0,22.0,0,0,0,0,0,0,0
Ubisoft  ,631.0600000000003,396,23.0,1,1,1,1,1,1,1
Video System  ,0.0,0,26.0,0,0,0,0,0,0,0
Games Workshop  ,0.19,2,2.0,0,0,1,0,0,0,1
RedOctane  ,25.839999999999996,4,13.0,1,1,0,0,1,0,0
Maximum Games  ,1.07,15,1.0,0,0,1,0,0,1,1
JoWood Productions  ,0.18000000000000002,1,8.0,1,0,0,0,0,0,0
Magical Company  ,0.0,0,20.0,0,0,0,0,0,0,0
Sold Out  ,1.3,7,2.0,0,0,1,0,0,0,1
Gremlin Interactive Ltd  ,0.0,0,20.0,0,0,0,0,0,0,0
Russel  ,0.0,0,10.0,0,0,0,0,0,0,0
Rain Games  ,0.02,1,4.0,0,0,0,0,0,0,1
Tru Blu Entertainment  ,0.6900000000000002,10,4.0,1,0,1,0,1,0,1
BAM! Entertainment  ,0.0,0,18.0,0,0,0,0,0,0,0
Coleco  ,0.0,0,36.0,0,0,0,0,0,0,0
Tecmo  ,4.63,8,22.0,1,1,0,0,1,0,0
Reef Entertainment  ,0.26,3,8.0,0,1,0,0,1,0,0
Gotham Games  ,0.0,0,16.0,0,0,0,0,0,0,0
3DO  ,0.0,0,20.0,0,0,0,0,0,0,0
Virgin Interactive  ,0.0,0,24.0,0,0,0,0,0,0,0
Princess Soft  ,0.0,0,16.0,0,0,0,0,0,0,0
GN Software  ,0.0,0,12.0,0,0,0,0,0,0,0
CPG Products  ,0.0,0,35.0,0,0,0,0,0,0,0
Wired Productions  ,0.15,6,1.0,0,0,1,0,0,1,1
Athena  ,0.0,0,17.0,0,0,0,0,0,0,0
Red Mile Entertainment  ,0.0,0,11.0,0,0,0,0,0,0,0
Berkeley  ,0.0,0,17.0,0,0,0,0,0,0,0
Fortyfive  ,0.0,0,20.0,0,0,0,0,0,0,0
Imadio  ,0.0,0,21.0,0,0,0,0,0,0,0
Mattel Interactive  ,0.0,0,36.0,0,0,0,0,0,0,0
Asmik Ace Entertainment  ,0.0,0,22.0,0,0,0,0,0,0,0
EA Sports  ,471.19000000000017,192,23.0,1,1,1,1,1,1,1
Focus Home Interactive  ,9.16,32,6.0,1,0,1,0,1,1,1
Imagic  ,0.0,0,36.0,0,0,0,0,0,0,0
Warner Bros. Interactive  ,100.47000000000001,66,15.0,1,1,1,0,1,1,1
Syscom  ,0.0,0,20.0,0,0,0,0,0,0,0
Triangle Service  ,0.02,1,9.0,1,0,0,0,0,0,0
Accolade  ,0.07,1,22.0,0,0,0,0,0,0,1
Hasbro Interactive  ,0.0,0,21.0,0,0,0,0,0,0,0
KSS  ,0.0,0,22.0,0,0,0,0,0,0,0
Tengen  ,0.0,0,30.0,0,0,0,0,0,0,0
Dorart  ,0.0,0,9.0,0,0,0,0,0,0,0
Genki  ,0.06,1,11.0,0,0,0,0,1,0,0
Media Entertainment  ,0.0,0,16.0,0,0,0,0,0,0,0
Arena Entertainment  ,0.0,0,25.0,0,0,0,0,0,0,0
Valve  ,7.17,2,7.0,1,0,0,0,1,0,0
Aruze Corp  ,0.0,0,19.0,0,0,0,0,0,0,0
ArtDink  ,0.04,1,24.0,0,0,0,0,0,0,1
Sony Computer Entertainment  ,367.68,173,24.0,0,0,0,0,1,0,1
Universal Interactive  ,0.0,0,22.0,0,0,0,0,0,0,0
Grey Box  ,0.39,2,1.0,0,0,0,0,0,1,1
Disney Interactive Studios  ,112.97999999999998,93,16.0,1,1,1,1,1,0,1
NewKidCo  ,0.0,0,20.0,0,0,0,0,0,0,0
Flight-Plan  ,0.0,0,11.0,0,0,0,0,0,0,0
Hect  ,0.0,0,25.0,0,0,0,0,0,0,0
O-Games  ,1.62,12,9.0,1,1,0,0,1,0,0
Interplay  ,0.0,0,22.0,0,0,0,0,0,0,0
Pioneer LDC  ,0.0,0,22.0,0,0,0,0,0,0,0
Alternative Software  ,0.38,5,8.0,1,1,1,0,1,0,1
Eidos Interactive  ,32.99,29,22.0,1,1,0,0,1,0,0
Vap  ,0.0,0,24.0,0,0,0,0,0,0,0
Bandai Namco Entertainment  ,1.1700000000000002,9,2.0,0,0,1,0,0,1,1
